name,Cactus?,New?,Family,Subfamily,Tribe,Genus,Subgenus,Species group,Species subgroup,Species,Stock ID,NDSSC ID,genome source,genome accession,citation,read type,assm size,genome N50,sample type,sex,#,stage,material provider,location,GPS,country,collection date,original source,comments
Drosophila imaii,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,obscura,imaii,913801,,NCBI SRA,"SRR12849572,SRR12849643","Khallaf et al. 2021, Nat Comm",Illumina (SPAdes),"167,471,890","3,996",,,,adult,,,,,,,
Drosophila bifasciata,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,obscura,bifasciata,(Watada) JZK-3 (E-12701),14012-0181.02,NCBI GenBank,GCA_009664405.1,"Bracewell et al. 2020, G3",PB Sequel + Illumina + Hi-C,"192,749,618","48,071,510",lab line,F,60,adult,,"Jozankei, Hokkaido.",,Japan,2003,,
Drosophila subsilvestris,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,obscura,subsilvestris,Dsus-DO21,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"162,767,741","3,560,445",wild,F,1,adult,Darren J. Obbard,"Penns in the Rocks, East Sussex, England","51.0963, 0.1727",United Kingdom,2021-Aug-07,Darren J. Obbard,
Drosophila obscura,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,obscura,obscura,BZ-5 IFL,,NCBI RefSeq,GCF_018151105.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"179,834,232","3,931,141",lab line,M,,adult,,Babin Zub,,Serbia,2017,Marina Radak,
Drosophila ambigua,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,obscura,ambigua,R42,,NCBI GenBank,GCA_018150905.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"161,264,264","11,334,561",lab line,M,,adult,,Mt Rtanj,,Serbia,2014,Marina Radak,
Drosophila tristis,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,obscura,tristis,Divčibare2,,NCBI GenBank,GCA_018150885.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"158,167,647","5,059,044",lab line,M,,adult,,Divčibare,,Serbia,2019,Marina Radak,
Drosophila lowei,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,pseudoobscura,lowei,Jillo6,,NCBI GenBank,GCA_008121275.1,"Bracewell et al. 2019, eLife",ONT R9.4.1 + Illumina,"184,313,494","48,132,706",F1,M,60,adult,,"Woodland Park, CO",,USA,2018-Aug,,
Drosophila miranda,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,pseudoobscura,miranda,Dmir_TW22,,NCBI RefSeq,NCBI GenBank,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"167,531,964","31,161,471",wild,F,1,adult,Thomas Werner,"Olympic Peninsula, WA",,USA,2021-Jul,Thomas Werner,
Drosophila pseudoobscura,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,pseudoobscura,pseudoobscura,MV-25-SWS-2005,,NCBI RefSeq,GCF_009870125.1,"Liao et al. 2021, Genome Res",PB Sequel + Illumina + Hi-C,"163,282,969","32,422,566",lab line,F,,adult,,"Mesa Verde, CO","37.3,-108.416",USA,2005-July,Stephen W. Schaeffer,
Drosophila persimilis,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,pseudoobscura,persimilis,,"14011-0111.01,24,50",NCBI RefSeq,GCF_003286085.1,"Clark, Long labs",PB Sequel + Illumina,"195,512,972","5,212,974",pooled lines,,,adult,,,,,,,
Drosophila helvetica,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,obscura,helvetica,Dhel_DO21,,NCBI RefSeq,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"184,306,181","792,072",wild,M,1,adult,Darren J. Obbard,"Penns in the Rocks, East Sussex, England","51.0963, 0.1727",United Kingdom,2021-Aug-07,Darren J. Obbard,
Drosophila azteca,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,affinis,azteca,,14012-1071.03,NCBI GenBank,GCA_005876895.1,"Flynn et al. 2020, MBE",PB Sequel + Illumina,"219,083,522","17,833,963",lab line,,,adult,,"Andreas Canyon, CA",,USA,1977,,
Drosophila affinis,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,affinis,affinis,(BGS) 2069.2,14012-0141.00,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"183,069,186","6,659,275",lab line,M,50,adult,Patrick M. O'Grady,"Cristal Lake, Hastings, NE",,USA,,,
Drosophila algonquin,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,affinis,algonquin,Dalg_TW21,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"169,381,220","1,517,147",wild,F,1,adult,Thomas Werner,"Huron Mountains, MI",,USA,2021-Jun,Thomas Werner,
Drosophila athabasca,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,obscura,affinis,athabasca,NJ28,,NCBI GenBank,GCA_008121215.1,"Bracewell et al. 2019, eLife",PB RS II + Illumina,"192,660,667","52,101,127",lab line,F,100,adult,,"Princeton, NJ",,,2016,,
Drosophila setifemur,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,setifemur,,setifemur,BGI-SZ-2011a,,NCBI GenBank,GCA_021224005.1,"Li et al. 2020, Mol Ecol Res",Illumina,"155,894,680","16,247,748",,,,,,"Burragate, New South Wales",,Australia,2011,,
Drosophila ironensis,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ananassae,ironensis,BGI-SZ-2017a,,NCBI GenBank,GCA_021223825.1,"Li et al. 2020, Mol Ecol Res",Illumina,"144,278,514","1,537,213",,,,,,"Daintree Rainforest, Queensland",,Australia,2017,,
Drosophila varians,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ananassae,varians,CKM15-L1,,NCBI GenBank,GCA_018150405.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"143,042,420","22,921,383",lab line,MF,,adult,Artyom Kopp,,,,,Muneo Matsuda,
Drosophila vallismaia,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ananassae,vallismaia,,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"171,530,783","21,241,113",lab line,M,50,adult,Artyom Kopp,,,,,Jean David,
Drosophila merina,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ananassae,merina,,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"193,262,168","22,261,538",lab line,M,50,adult,Artyom Kopp,,,,,Jean David,
Drosophila ercepeae,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ananassae,ercepeae,164-14,14024-0432.00,NCBI GenBank,GCA_018150545.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"178,957,960","22,310,376",lab line,MF,,adult,Artyom Kopp,Reunion Island,,France,,,
Drosophila pseudoananassae,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ananassae,pseudoananassae,Wau 125,,NCBI GenBank,GCA_018153035.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"193,740,970","7,392,541",lab line,F,,adult,Artyom Kopp,Hanoi,,Vietnam,2004?,Muneo Matsuda,
Drosophila malerkotliana,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ananassae,malerkotliana,mal0-isoC,,NCBI GenBank,GCA_018153235.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"191,313,204","20,136,493",lab line,MF,,adult,Artyom Kopp,Mysore,,India,,,
Drosophila bipectinata,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ananassae,bipectinata,,14024-0381.04,NCBI RefSeq,GCF_018153845.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"192,393,922","15,788,854",lab line,MF,,adult,Artyom Kopp,Samut Songkhram,,Thailand,1971,,
Drosophila parabipectinata,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ananassae,parabipectinata,par2-isoB,14024-0401.02,NCBI GenBank,GCA_018153455.1,"Kim et al. 2021, eLife",ONT R9.4.1 + Illumina,"209,862,113","11,640,351",lab line,MF,,adult,Artyom Kopp,Tagaytay,,Philippines,1967,,
Drosophila atripex,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ananassae,atripex,V251,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"173,038,784","14,577,270",lab line,M,50,adult,Artyom Kopp,,,,,Muneo Matsuda,
Drosophila monieri,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ananassae,monieri,,,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R9.4.1 + Illumina,"173,474,366","6,771,795",lab line,M,50,adult,Artyom Kopp,,,,,Jean David,
Drosophila pandora,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ananassae,pandora,BGI-SZ-2011d,,NCBI GenBank,GCA_021223865.1,"Li et al. 2020, Mol Ecol Res",Illumina,"181,393,585","1,881,776",lab line,,,adult,,"Lake Placid, Queensland",,Australia,2011,,
Drosophila parapallidosa,0,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ananassae,parapallidosa,,,NCBI SRA,SAMD00051871 ,Natl Institute of Genetics (Japan),Illumina PE + MP3k + MP5k,"186,264,142","2,305",,F,,,,,,,,,assembled with SPAdes
Drosophila anomalata,1,1,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ananassae,anomalata,CHC221 (Schiffer),14024-0461.00,NCBI GenBank,PENDING,Kim et al. - PENDING,ONT R10.4.1 + Illumina,"173,872,104","607,592",lab line,M,50,adult,Zee Syed/DEP,"Townsville, Queensland",,Australia,,,
Drosophila ananassae,1,0,Drosophilidae,Drosophilinae,Drosophilini,Drosophila,Sophophora,melanogaster,ananassae,ananassae,,14024-0371.13,NCBI RefSeq,GCF_017639315.1,"Tvedte et al. 2021, G3",PB Sequel II + HiFi,"213,817,545","26,427,416",lab line,MF,,adult,,,,,,,
